Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,75,6,Some Random Commen with Id 0
1,0,0,140,5,Some Random Commen with Id 1
2,0,0,2,1,Some Random Commen with Id 2
3,1,3,189,1,Some Random Commen with Id 3
4,1,3,109,0,Some Random Commen with Id 4
5,2,0,169,5,Some Random Commen with Id 5
6,2,0,126,0,Some Random Commen with Id 6
7,2,0,39,3,Some Random Commen with Id 7
8,2,0,14,4,Some Random Commen with Id 8
9,2,0,82,1,Some Random Commen with Id 9
10,2,0,180,4,Some Random Commen with Id 10
11,2,0,158,3,Some Random Commen with Id 11
12,3,4,183,7,Some Random Commen with Id 12
13,3,4,169,9,Some Random Commen with Id 13
14,4,7,99,7,Some Random Commen with Id 14
15,4,7,153,9,Some Random Commen with Id 15
16,4,7,181,4,Some Random Commen with Id 16
17,4,7,136,2,Some Random Commen with Id 17
18,4,7,171,4,Some Random Commen with Id 18
19,5,0,181,9,Some Random Commen with Id 19
20,5,0,119,8,Some Random Commen with Id 20
21,5,0,167,6,Some Random Commen with Id 21
22,5,0,177,2,Some Random Commen with Id 22
23,5,0,119,2,Some Random Commen with Id 23
24,6,2,143,6,Some Random Commen with Id 24
25,6,2,184,3,Some Random Commen with Id 25
26,6,2,123,7,Some Random Commen with Id 26
27,6,2,71,8,Some Random Commen with Id 27
28,7,8,54,8,Some Random Commen with Id 28
29,7,8,51,0,Some Random Commen with Id 29
30,7,8,190,0,Some Random Commen with Id 30
31,7,8,137,1,Some Random Commen with Id 31
32,7,8,155,9,Some Random Commen with Id 32
33,8,3,27,0,Some Random Commen with Id 33
34,8,3,187,4,Some Random Commen with Id 34
35,8,3,68,7,Some Random Commen with Id 35
36,8,3,33,8,Some Random Commen with Id 36
37,8,3,34,5,Some Random Commen with Id 37
38,8,3,80,7,Some Random Commen with Id 38
39,9,2,45,9,Some Random Commen with Id 39
40,9,2,90,0,Some Random Commen with Id 40
41,9,2,179,3,Some Random Commen with Id 41
42,9,2,184,3,Some Random Commen with Id 42
43,9,2,34,8,Some Random Commen with Id 43
44,9,2,83,5,Some Random Commen with Id 44
45,10,6,165,5,Some Random Commen with Id 45
46,10,6,27,9,Some Random Commen with Id 46
47,10,6,167,2,Some Random Commen with Id 47
48,10,6,29,2,Some Random Commen with Id 48
49,10,6,127,5,Some Random Commen with Id 49
50,10,6,174,7,Some Random Commen with Id 50
51,11,7,137,7,Some Random Commen with Id 51
52,11,7,101,1,Some Random Commen with Id 52
53,11,7,4,6,Some Random Commen with Id 53
54,11,7,39,5,Some Random Commen with Id 54
55,12,6,149,6,Some Random Commen with Id 55
56,12,6,6,2,Some Random Commen with Id 56
57,12,6,121,9,Some Random Commen with Id 57
58,12,6,132,7,Some Random Commen with Id 58
59,12,6,186,6,Some Random Commen with Id 59
60,12,6,1,4,Some Random Commen with Id 60
61,12,6,126,6,Some Random Commen with Id 61
62,12,6,195,4,Some Random Commen with Id 62
63,12,6,166,7,Some Random Commen with Id 63
64,13,0,153,9,Some Random Commen with Id 64
65,13,0,198,9,Some Random Commen with Id 65
66,13,0,136,1,Some Random Commen with Id 66
67,13,0,82,7,Some Random Commen with Id 67
68,15,3,136,4,Some Random Commen with Id 68
69,15,3,107,9,Some Random Commen with Id 69
70,15,3,71,4,Some Random Commen with Id 70
71,15,3,0,2,Some Random Commen with Id 71
72,15,3,21,2,Some Random Commen with Id 72
73,15,3,41,5,Some Random Commen with Id 73
74,15,3,53,3,Some Random Commen with Id 74
75,15,3,191,5,Some Random Commen with Id 75
76,16,7,114,7,Some Random Commen with Id 76
77,16,7,167,2,Some Random Commen with Id 77
78,16,7,130,3,Some Random Commen with Id 78
79,16,7,85,5,Some Random Commen with Id 79
80,16,7,182,7,Some Random Commen with Id 80
81,16,7,149,5,Some Random Commen with Id 81
82,16,7,123,0,Some Random Commen with Id 82
83,17,4,166,0,Some Random Commen with Id 83
84,18,7,166,0,Some Random Commen with Id 84
85,18,7,60,3,Some Random Commen with Id 85
86,18,7,96,0,Some Random Commen with Id 86
87,18,7,119,2,Some Random Commen with Id 87
88,18,7,157,0,Some Random Commen with Id 88
89,18,7,169,5,Some Random Commen with Id 89
90,18,7,185,7,Some Random Commen with Id 90
91,18,7,154,3,Some Random Commen with Id 91
92,19,8,47,3,Some Random Commen with Id 92
93,19,8,17,0,Some Random Commen with Id 93
94,19,8,167,2,Some Random Commen with Id 94
95,19,8,197,8,Some Random Commen with Id 95
96,19,8,55,2,Some Random Commen with Id 96
97,19,8,170,7,Some Random Commen with Id 97
98,19,8,101,7,Some Random Commen with Id 98
99,19,8,161,6,Some Random Commen with Id 99
100,19,8,146,0,Some Random Commen with Id 100
101,20,1,97,2,Some Random Commen with Id 101
102,20,1,43,3,Some Random Commen with Id 102
103,20,1,92,4,Some Random Commen with Id 103
104,20,1,11,1,Some Random Commen with Id 104
105,20,1,69,2,Some Random Commen with Id 105
106,20,1,50,5,Some Random Commen with Id 106
107,20,1,186,8,Some Random Commen with Id 107
108,20,1,81,6,Some Random Commen with Id 108
109,20,1,114,3,Some Random Commen with Id 109
110,21,8,92,8,Some Random Commen with Id 110
111,21,8,28,9,Some Random Commen with Id 111
112,21,8,70,8,Some Random Commen with Id 112
113,21,8,182,6,Some Random Commen with Id 113
114,21,8,27,8,Some Random Commen with Id 114
115,21,8,8,8,Some Random Commen with Id 115
116,21,8,6,0,Some Random Commen with Id 116
117,21,8,43,6,Some Random Commen with Id 117
118,22,5,165,0,Some Random Commen with Id 118
119,22,5,5,2,Some Random Commen with Id 119
120,23,6,10,0,Some Random Commen with Id 120
121,23,6,185,2,Some Random Commen with Id 121
122,24,4,15,0,Some Random Commen with Id 122
123,24,4,174,3,Some Random Commen with Id 123
124,25,0,190,7,Some Random Commen with Id 124
125,25,0,113,0,Some Random Commen with Id 125
126,25,0,123,1,Some Random Commen with Id 126
127,26,4,51,0,Some Random Commen with Id 127
128,26,4,35,3,Some Random Commen with Id 128
129,26,4,2,6,Some Random Commen with Id 129
130,27,3,77,7,Some Random Commen with Id 130
131,27,3,25,6,Some Random Commen with Id 131
132,27,3,115,5,Some Random Commen with Id 132
133,27,3,109,7,Some Random Commen with Id 133
134,27,3,108,8,Some Random Commen with Id 134
135,27,3,87,5,Some Random Commen with Id 135
136,29,6,72,8,Some Random Commen with Id 136
137,30,4,62,5,Some Random Commen with Id 137
138,30,4,194,2,Some Random Commen with Id 138
139,30,4,11,7,Some Random Commen with Id 139
140,30,4,29,6,Some Random Commen with Id 140
141,31,0,38,3,Some Random Commen with Id 141
142,31,0,194,9,Some Random Commen with Id 142
143,31,0,161,7,Some Random Commen with Id 143
144,31,0,185,7,Some Random Commen with Id 144
145,31,0,65,0,Some Random Commen with Id 145
146,31,0,36,3,Some Random Commen with Id 146
147,31,0,60,7,Some Random Commen with Id 147
148,32,0,136,0,Some Random Commen with Id 148
149,32,0,25,1,Some Random Commen with Id 149
150,32,0,41,6,Some Random Commen with Id 150
151,32,0,96,6,Some Random Commen with Id 151
152,32,0,20,5,Some Random Commen with Id 152
153,32,0,75,1,Some Random Commen with Id 153
154,33,7,137,7,Some Random Commen with Id 154
155,33,7,133,5,Some Random Commen with Id 155
156,33,7,120,4,Some Random Commen with Id 156
157,33,7,176,6,Some Random Commen with Id 157
158,33,7,160,0,Some Random Commen with Id 158
159,33,7,26,0,Some Random Commen with Id 159
160,33,7,117,7,Some Random Commen with Id 160
161,33,7,81,8,Some Random Commen with Id 161
162,34,1,94,7,Some Random Commen with Id 162
163,34,1,12,8,Some Random Commen with Id 163
164,35,7,69,6,Some Random Commen with Id 164
165,35,7,196,2,Some Random Commen with Id 165
166,35,7,126,2,Some Random Commen with Id 166
167,36,5,0,5,Some Random Commen with Id 167
168,36,5,180,5,Some Random Commen with Id 168
169,36,5,178,0,Some Random Commen with Id 169
170,37,7,188,5,Some Random Commen with Id 170
171,37,7,179,7,Some Random Commen with Id 171
172,37,7,116,4,Some Random Commen with Id 172
173,37,7,52,6,Some Random Commen with Id 173
174,37,7,78,1,Some Random Commen with Id 174
175,38,4,46,1,Some Random Commen with Id 175
176,39,2,129,7,Some Random Commen with Id 176
